OrganizationIdentifier,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,ProviderName
21IOWA_WQX,21IOWA_WQX-14000380,Marble Beach (Marble Beach State Park),Lake,10230003,43.47396,-95.12525,19,59,STORET
21IOWA_WQX,21IOWA_WQX-14000409,West Lake Okoboji - Emerson Bay,Lake,10230003,43.35968,-95.16862,19,59,STORET
21IOWA_WQX,21IOWA_WQX-14000410,West Lake Okoboji - Smiths Bay,Lake,10230003,43.37205,-95.13489,19,59,STORET
21IOWA_WQX,21IOWA_WQX-14000411,West Lake Okoboji - Millers Bay,Lake,10230003,43.3788,-95.17479,19,59,STORET
21IOWA_WQX,21IOWA_WQX-14000412,West Lake Okoboji - Main Basin North,Lake,10230003,43.40923,-95.16792,19,59,STORET
21IOWA_WQX,21IOWA_WQX-14000413,Cedar Lake,Lake,7080205,41.991066,-91.665455,19,113,STORET
21IOWA_WQX,21IOWA_WQX-14000414,Big Creek TMDL 1,Lake,7100004,41.804396,-93.739259,19,153,STORET
21IOWA_WQX,21IOWA_WQX-14000415,Big Creek TMDL 2,Lake,7100004,41.812506,-93.740038,19,153,STORET
21IOWA_WQX,21IOWA_WQX-14000416,Big Creek TMDL 3,Lake,7100004,41.819778,-93.746444,19,153,STORET
21IOWA_WQX,21IOWA_WQX-14000450,Lake Petocka,Lake,7080105,41.706425,-93.440585,19,153,STORET
21IOWA_WQX,21IOWA_WQX-14000526,Iowa LK1,Lake,7080209,41.635235,-92.169498,19,95,STORET
21IOWA_WQX,21IOWA_WQX-14000527,Iowa LK2,Lake,7080209,41.638747,-92.177992,19,95,STORET
21IOWA_WQX,21IOWA_WQX-14000528,Iowa LK3,Lake,7080209,41.641918,-92.173581,19,95,STORET
21IOWA_WQX,21IOWA_WQX-14000529,Iowa LK4,Lake,7080209,41.644075,-92.176578,19,95,STORET
